id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,0,US49.2508C PER CDI;  15% W/TAX,2018-01-19,0.526979,2017-12-20,2017-12-21,IJH,Interim
,0,US 70.0304C PER CDI;  15%W/TAX; EST $A,2018-04-23,0.773364,2018-03-23,2018-03-26,IJH,Final
,0,US34.8255C PER CDI;  15% W/TAX,2017-07-18,0.386142,2017-06-21,2017-06-22,IJP,Final
,0,US39.9411C PER CDI;  15% W/TAX,2018-01-19,0.427366,2017-12-20,2017-12-21,IJP,Interim
,0,USD 20.6087C PER CDI ; 15%W/TAX,2017-07-25,0.220538,2017-06-28,2017-06-29,IJR,Interim
,0,US 22.6218C PER CDI;  15%W/TAX,2017-10-24,0.244203,2017-09-27,2017-09-28,IJR,Interim
,0,US26.5253C PER CDI;  15% W/TAX,2018-01-19,0.283818,2017-12-20,2017-12-21,IJR,Interim
,0,US 23.8806C PER CDI;  15%W/TAX; EST $A,2018-04-23,0.26372,2018-03-23,2018-03-26,IJR,Final
,0,US217.6242C PER CDI;  15% W/TAX,2018-01-19,2.328558,2017-12-20,2017-12-21,IKO,Interim
,0,DRP,2017-07-13,0.410017,2017-07-03,2017-07-04,ILB,Final
,0,DRP,2017-10-17,0.193764,2017-10-05,2017-10-06,ILB,Interim
,0,DRP,2018-01-16,0.246876,2018-01-04,2018-01-05,ILB,Interim
,0.21,EST 2.6257C FR@30%;1 .8092C CFI;DRP,2017-07-13,0.123495,2017-07-03,2017-07-04,ILC,Final
,0.92,EST 47.8978C FR@30%; 1.2761C CFI;DRP,2017-10-17,0.518664,2017-10-05,2017-10-06,ILC,Interim
,0.87,EST 23.5973C FR@30%; 2.0827C CFI;DRP,2018-01-16,0.272408,2018-01-04,2018-01-05,ILC,Interim
,0,UNFRANKED; NIL CFI;  DRP,2017-09-13,0.051,2017-08-25,2017-08-28,INA,Final
,0,UNFRANKED; NIL CFI;  DRP,2018-03-14,0.051,2018-02-23,2018-02-26,INA,Interim
,0,DRP SUSPENDED,2017-08-31,0.102,2017-06-29,2017-06-30,IOF,Final
,0,DRP SUSPENDED,2018-02-28,0.1015,2017-12-28,2017-12-29,IOF,Interim
,0,US127.0152C PER CDI;  15% W/TAX,2017-07-18,1.408334,2017-06-21,2017-06-22,IOO,Interim
,0,US79.273C PER CDI; 1 5% W/TAX,2018-01-23,0.840699,2017-12-22,2017-12-27,IOO,Final
,0.23,EST 3.7434C FR@30%;  2.3086C CFI; DRP,2017-07-13,0.164569,2017-07-03,2017-07-04,IOZ,Final
,0.85,EST 32.092C FR@30%;  1.4358C CFI; DRP,2017-10-17,0.377022,2017-10-05,2017-10-06,IOZ,Interim
,0.68,EST 11.3247C FR@30%;  1.2957C CFI; DRP,2018-01-16,0.166006,2018-01-04,2018-01-05,IOZ,Interim
,0,UNFRANKED;NIL CFI;DR P SUSPENDED,2018-04-09,0.0375,2018-03-21,2018-03-22,IPE,Interim
,0,USD60.9105C PER CDI;  15% W/TAX,2017-08-03,0.646887,2017-07-07,2017-07-10,IRU,Final
,0,US 34.8518C PER CDI;  15% W/TAX,2017-10-24,0.376226,2017-09-27,2017-09-28,IRU,Interim
,0,US57.93C PER CDI; 15 % W/TAX,2018-01-23,0.614354,2017-12-22,2017-12-27,IRU,Final
,0,US 36.2366C PER CDI;  15%W/TAX; EST $A,2018-04-23,0.40017,2018-03-23,2018-03-26,IRU,Final
,0,US25.7101C PER CDI;  15% W/TAX,2017-07-18,0.285071,2017-06-21,2017-06-22,ISG,Final
,0,US64.0702C PER CDI;  15% W/TAX,2018-01-19,0.685545,2017-12-20,2017-12-21,ISG,Interim
,0.6,EST 3.1813C FRANKED;  0.1393C CFI; DRP,2017-07-13,0.053361,2017-07-03,2017-07-04,ISO,Final
,0.67,EST 3.2089C FRANKED;  0.2296C CFI; DRP,2018-01-16,0.048037,2018-01-04,2018-01-05,ISO,Interim
,0,US101.8906C PER CDI;  15% W/TAX,2018-01-19,1.090219,2017-12-20,2017-12-21,ITW,Interim
,0,US106.1731C PER CDI;  15% W/TAX,2017-07-18,1.177239,2017-06-21,2017-06-22,IVE,Final
